target,features_1,features_2,features_3,features_4,features_5
1,0.942891182187166,0.973180662503814,0.989659278195915,0.984743908259883,0.57975179318888
1,0.666914013271306,0.699596297588412,0.868806859518386,0.537682041094331,0.871095871673782
0,0.661282794943333,0.321525974999844,0.213828346948101,0.137020706070262,0.0818542191765964
1,0.413695966779677,0.25121710349946,0.439623157106947,0.492954794600811,0.196394997635677
1,0.970004060891384,0.558726466528813,0.207902046390571,0.244405646810128,0.210819799556574
0,0.168796651788684,0.693986475497338,0.845017474209581,0.977824453771179,0.916943599309173
1,0.25436702875551,0.153491823268636,0.650978446531903,0.828643588736942,0.320597626678698
0,0.560768832930606,0.634673599558732,0.833744196754906,0.806746488777444,0.742959521435346
0,0.563086549203222,0.634757389689326,0.222878651007987,0.607628123646735,0.647262514975054
0,0.815850343790625,0.278891713147545,0.560271724008624,0.434958416309583,0.524859300457387
0,0.653417764661497,0.713298548406136,0.452797313203432,0.759799531002507,0.757422260167682
0,0.541530218796556,0.688761370679795,0.51344133937471,0.706147936242136,0.248647160015329
1,0.496100606061101,0.369105380711051,0.734101036524632,0.718141270493015,0.846070265794113
0,0.669782252312134,0.285207856413387,0.70957605882933,0.944735863233089,0.762308816184863
1,0.351340098973724,0.609580968290888,0.590969015721974,0.780295734588449,0.806628590059269
1,0.764773515320456,0.820124369998397,0.739809259195151,0.483421503860539,0.242403936310426
1,0.191073463423989,0.711730214033686,0.921101204253239,0.788072792563732,0.66785867599674
0,0.602634497577487,0.762286876882807,0.590677954536026,0.87784259123901,0.873170636961387
0,0.0680184986235269,0.0412737900319134,0.0498456284944135,0.227766454779629,0.631429315648242
1,0.266478636407901,0.447106318742395,0.168997982564077,0.326354540756957,0.380446462307257
1,0.504815670966907,0.313617273444849,0.306658547441309,0.841613711287428,0.139235762924697
0,0.0703323066012114,0.0976117812608113,0.0932925739762686,0.109410244856313,0.0765055158703962
1,0.11284293880211,0.0988540041792905,0.557747741528869,0.752828470010932,0.652538851189931
0,0.107581876104149,0.486355987902515,0.101601444590194,0.625770934669692,0.736499394466213
0,0.0432496112634963,0.416928108347005,0.672909358316479,0.9159434756006,0.810083440024477
0,0.531925281941891,0.717619616088218,0.381746965388282,0.557674359963479,0.337417362852976
0,0.952743378875051,0.968478019518831,0.894954571333661,0.285663725618949,0.949675620629046
0,0.209383325728114,0.0723651420521917,0.0814222982967528,0.113812240956849,0.298749126948193
0,0.551458581862229,0.744669551281985,0.6920954252417,0.796363278814898,0.846382237280136
0,0.128765237414599,0.248140759482608,0.162081755601888,0.36349758809717,0.294991113010734
1,0.961576503299699,0.909015061973203,0.674136331351633,0.919941639933848,0.402148983430637
0,0.622827504253623,0.864752506808493,0.752818909515363,0.936209695330374,0.878541959425073
0,0.939137726270167,0.899395651390749,0.749079663420775,0.841221594849964,0.895460209136304
0,0.534275524342068,0.299036137365365,0.390597960965077,0.664312696666205,0.936228942638594
0,0.388986041263218,0.433920120224764,0.602435784946947,0.117488605156397,0.200284110749128
1,0.897970359744815,0.824950708683925,0.855411257299708,0.915100890548747,0.265330852267674
0,0.993124040083886,0.999940040092041,0.999131195836095,0.974849901501575,0.988782544608492
0,0.547600722289816,0.748388821020087,0.377986753383539,0.133316614754275,0.413199180478553
1,0.984253610935194,0.996848184032993,0.966765295019663,0.81265810147213,0.37148886027757
1,0.91073181394063,0.595274503842117,0.0837794319456426,0.301176652378505,0.244365854089824
0,0.504922569513589,0.569449893976038,0.602686460400641,0.298890665268897,0.213044280103212
